company,product_name,link_href,product_category,price
hillyard,"Hillyard,  Unscented Clean Action® Ii Extraction Cleaner,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Unscented-Clean-Action%C2%AE-Ii-Extraction-Cleaner/p/HIL0092206,Cleaner,209
hillyard,"Hillyard,  Rust Spotter Gel,  32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Rust-Spotter-Gel/p/HIL0091104,"Protectant, Spot remover",152
hillyard,"Hillyard,  Carpet Spotter,  Kit",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Carpet-Spotter/p/HIL0090069,Spot remover,284
hillyard,"Hillyard,  Strong Guard® Seal,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Coatings/Hillyard%2C-Strong-Guard%C2%AE-Seal/p/HIL0034506,Cleaner,256
hillyard,"Hillyard,  Clean Action® Ii Extraction Cleaner,  5 Gal Pail",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Clean-Action%C2%AE-Ii-Extraction-Cleaner/p/HIL0090207,Cleaner,153
hillyard,"Hillyard,  Deep Action® Carpet Pre-Spray,  55 Gal Drum",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Deep-Action%C2%AE-Carpet-Pre-Spray/p/HIL0091809,Spot remover,204
hillyard,"Hillyard,  Deep Action® Carpet Pre-Spray,  5 Gal Pail",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Deep-Action%C2%AE-Carpet-Pre-Spray/p/HIL0091807,Spot remover,310
hillyard,"Hillyard,  Unscented Deep Action® Carpet Pre-Spray,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Unscented-Deep-Action%C2%AE-Carpet-Pre-Spray/p/HIL0092106,"Cleaner, Protectant",287
hillyard,"Hillyard,  Soft Surface Sanitizer,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Soft-Surface-Sanitizer/p/HIL0091906,Protectant,232
hillyard,"Hillyard, Arsenal® Carpet Pre-Spray, Arsenal® Jug System Dispenser 32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Arsenal%C2%AE-Carpet-Pre-Spray/p/HIL0081404,Cleaner,19.99
